No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
762,SMKL,Satyamitra Kemas Lestari Tbk.,0,210,204,206,-2,121600,24876200,46,106.7,208,60500,204,45700,3418085290,3418085290,526043326,0,52100,0,0,0
763,SMKM,Sumber Mas Konstruksi Tbk.,0,100,96,96,-4,23665500,2318032200,291,36.4,96,192000,95,33900,1253000000,1253000000,0,0,0,5660500,509445000,2
764,SMMA,Sinarmas Multiartha Tbk.,0,14500,14500,14500,0,100,1450000,1,1080.9,14500,400,12575,100,6367664717,6367664717,2838704931,100,0,10496298,94991308486,81
765,SMMT,Golden Eagle Energy Tbk.,0,1260,1255,1255,0,751100,942721000,91,2936.1,1260,384200,1255,1141300,3150000000,3150000000,511245000,92100,10100,0,0,0
766,SMRA,Summarecon Agung Tbk.,0,595,565,570,-15,15859900,9097020000,1781,967.0,575,1116400,570,484300,16508568358,16508568358,8823829787,649000,3964400,73,42235,2
767,SMRU,SMR Utama Tbk.,0,0,0,50,0,0,0,0,12.2,0,0,0,0,12499385782,12499385782,4948506831,0,0,0,0,0
768,SMSM,Selamat Sempurna Tbk.,0,1950,1860,1860,-65,1546100,2943054000,1379,4968.1,1870,200,1860,56800,5758675440,5758675440,2362784533,1009700,203600,0,0,0
769,SNLK,Sunter Lakeside Hotel Tbk.,0,500,492,500,2,273600,136041600,111,333.3,500,109300,498,16500,450000000,450000000,181575000,46700,0,0,0,0
770,SOCI,Soechi Lines Tbk.,0,191,185,187,-2,12909000,2428502400,931,34.0,188,20900,187,207100,7059000000,7059000000,818844000,4464500,2326600,0,0,0
771,SOFA,Boston Furniture Industries Tbk.,0,19,18,19,0,4200,79700,7,19.0,19,292000,18,15400,1653574499,1653574499,0,0,0,0,0,0
772,SOHO,Soho Global Health Tbk.,0,5650,5650,5650,0,2800,15820000,6,310.4,5700,200,5650,4100,1269168239,1269168239,1142251,0,0,0,0,0
773,SONA,Sona Topas Tourism Industry Tbk.,0,2450,2450,2450,0,25300,61985000,7,237.6,2450,4700,2440,200,331200000,331200000,25502400,0,0,0,0,0
774,SOSS,Shield On Service Tbk.,0,585,580,580,0,200,116500,2,210.1,585,374900,580,1799500,799414231,799414231,142336193,0,0,0,0,0
775,SOTS,Satria Mega Kencana Tbk.,0,254,204,254,50,3484800,845403200,1260,153.9,0,0,254,344800,1000000075,1000000075,256000019,4600,7700,0,0,0
776,SOUL,Mitra Tirta Buwana Tbk.,0,31,27,29,-1,4628500,132894800,254,26.4,29,254300,28,2158800,1082521470,1082521470,0,0,0,0,0,0
777,SPMA,Suparma Tbk.,0,364,360,360,-2,116500,42121400,60,240.3,366,3500,362,10100,3154092216,3154092216,236872325,0,0,0,0,0
778,SPTO,Surya Pertiwi Tbk.,0,575,565,570,5,568100,324147500,43,49.1,575,66300,570,52300,2700000000,2700000000,895050000,0,0,0,0,0
779,SQMI,Wilton Makmur Indonesia Tbk.,0,52,50,51,0,4889300,249824000,169,29.0,52,4083600,51,1369100,15537591429,15537591429,3192975039,3002800,0,0,0,0
780,SRAJ,Sejahteraraya Anugrahjaya Tbk.,0,310,298,304,-2,148100,44993000,61,324.4,304,5500,302,100,12000705445,12000705445,889252273,13600,1000,0,0,0
781,SRIL,Sri Rejeki Isman Tbk.,0,0,0,146,0,0,0,0,60.8,0,0,0,0,20452176844,20452176844,7943625486,0,0,0,0,0
782,SRSN,Indo Acidatama Tbk,0,68,63,64,-2,11755800,763387800,308,11.7,65,323400,64,906100,6020000000,6020000000,1023400000,0,0,0,0,0
783,SRTG,Saratoga Investama Sedaya Tbk.,1490,1515,1475,1475,-25,14511500,21687953000,2715,134.1,1480,3000,1475,301600,13564835000,13564835000,1648127453,1657900,923700,0,0,0
784,SSIA,Surya Semesta Internusa Tbk.,0,420,412,412,-4,7768200,3227898400,857,169.0,414,15100,412,237900,4705249440,4705249440,3379310148,477600,792600,595500,306087000,2
785,SSMS,Sawit Sumbermas Sarana Tbk.,0,1140,1110,1110,-35,7172900,8091209500,640,165.7,1120,10100,1110,150000,9525000000,9525000000,2958465000,1641500,383000,0,0,0
786,SSTM,Sunson Textile Manufacture Tbk,0,0,0,535,0,0,0,0,125.9,535,69500,0,0,1170909181,1170909181,170601468,0,0,0,0,0
787,STAA,Sumber Tani Agung Resources Tbk.,0,870,860,870,0,7627500,6609687500,2644,145.0,875,122000,870,1000,10903372600,10896300600,2654971228,201500,412600,0,0,0
788,STAR,Buana Artha Anugerah Tbk.,0,114,113,114,0,7668400,866532000,11,111.8,114,666800,113,35500,4800000602,4800000602,3254880408,0,2700,0,0,0
789,STRK,Lovina Beach Brewery Tbk.,0,338,296,338,28,418198900,133350655400,48062,338.0,340,1324800,338,17666700,10721709000,2480000000,2155000000,4434900,2824200,0,0,0
790,STTP,Siantar Top Tbk.,0,10300,10300,10300,0,200,2060000,2,6086.4,10575,100,10300,100,1310000000,1310000000,524000000,0,0,0,0,0
791,SUGI,Sugih Energy Tbk.,0,0,0,50,0,0,0,0,64.8,0,0,0,0,24811541414,24811541414,16390504258,0,0,0,0,0
792,SULI,SLJ Global Tbk.,0,164,159,161,0,7747500,1252035800,1015,2.3,162,286600,161,243400,4076916802,4076916802,1302982610,388900,399400,0,0,0
793,SUNI,Sunindo Pratama Tbk.,0,410,398,402,-4,302600,121700400,53,134.0,402,28400,400,14700,2500000000,2500000000,600000000,0,0,0,0,0
794,SUPR,Solusi Tunas Pratama Tbk.,0,0,0,39900,0,0,0,0,1225.4,39900,200,37500,500,1137579698,1137579698,455032,0,0,0,0,0
795,SURE,Super Energy Tbk.,0,1100,1100,1100,0,100,110000,1,709.7,1000,900,0,0,1497576771,1497576771,115163654,0,0,0,0,0
796,SWAT,Sriwahana Adityakarta Tbk.,0,58,55,56,0,1768600,98446400,207,35.0,56,252100,55,965300,3019200000,3019200000,332112000,0,100,0,0,0
797,SWID,Saraswanti Indoland Development Tbk.,0,77,75,75,-1,101800,7711500,51,37.5,76,1200,75,38900,5385009201,5385009201,1109849448,0,0,0,0,0
798,TALF,Tunas Alfin Tbk.,0,0,0,338,0,0,0,0,85.6,338,100,306,1000,1353435000,1353435000,11774885,0,0,0,0,0
799,TAMA,Lancartama Sejati Tbk.,0,0,0,30,0,0,0,0,17.1,30,134800,29,100,1200000696,1200000696,448800260,0,0,0,0,0
800,TAMU,Pelayaran Tamarin Samudra Tbk.,0,8,8,8,0,1993500,15948000,50,73.1,9,16484000,8,8817100,37500000000,37500000000,7500000000,0,1326300,0,0,0
801,TAPG,Triputra Agro Persada Tbk.,0,560,535,545,0,5637300,3074892500,429,272.5,545,1476200,540,50600,19852540000,19847643000,2648328836,211900,771400,0,0,0
802,TARA,Agung Semesta Sejahtera Tbk.,0,10,10,10,0,102600,1026000,4,9.4,10,1137000,9,2129700,10069645750,10069645750,6951076461,0,0,90000000,900000000,1
803,TAXI,Express Transindo Utama Tbk.,0,0,0,50,0,0,0,0,8.9,50,692902900,0,0,10223647156,10223647156,10223647156,0,0,1600000,4800000,1
804,TAYS,Jaya Swarasa Agung Tbk.,0,121,117,118,-1,660500,78068500,117,32.8,118,7800,116,109700,1098920000,1098920000,270334320,0,0,0,0,0
805,TBIG,Tower Bersama Infrastructure Tbk.,2100,2100,2060,2060,-40,2233300,4639081000,434,508.6,2070,688200,2060,357500,22656999445,22656999445,3235419521,529500,549600,0,0,0
806,TBLA,Tunas Baru Lampung Tbk.,0,790,770,770,-20,2367700,1851560500,551,178.0,775,200,770,17100,6025373372,6025373372,2539092339,1454100,39900,0,0,0
807,TBMS,Tembaga Mulia Semanan Tbk.,0,1975,1905,1950,-15,3800,7311000,26,276.6,1940,400,1905,100,367340000,367340000,25824002,0,0,0,0,0
808,TCID,Mandom Indonesia Tbk.,0,0,0,2970,0,0,0,0,583.5,2940,100,2790,100,402133334,402133334,58751680,0,0,0,0,0
809,TCPI,Transcoal Pacific Tbk.,0,8050,7450,7900,100,10367700,80941845000,1542,5724.6,7925,100,7900,1500,5000000000,5000000000,1100000000,354400,671100,0,0,0
810,TDPM,Tridomain Performance Materials Tbk.,0,0,0,119,0,0,0,0,52.2,0,0,0,0,10485050500,10485050500,2882340382,0,0,0,0,0
811,TEBE,Dana Brata Luhur Tbk.,0,760,745,760,15,222900,169126000,46,69.4,760,8900,755,12200,1285000000,1285000000,420323500,0,0,0,0,0
812,TECH,Indosterling Technomedia Tbk.,0,0,0,50,0,0,0,0,31.3,0,0,0,0,1256300000,1256300000,234299950,0,0,0,0,0
813,TELE,Omni Inovasi Indonesia Tbk.,0,0,0,50,0,0,0,0,16.1,0,0,0,0,7310929389,7310929389,1764858355,0,0,0,0,0
814,TFAS,Telefast Indonesia Tbk.,0,975,950,965,0,58500,56094000,77,536.1,965,3800,955,20900,1666666500,1666666500,432666623,0,4100,0,0,0
815,TFCO,Tifico Fiber Indonesia Tbk.,0,0,0,680,0,0,0,0,154.1,0,0,0,0,4823076400,4823076400,39549226,0,0,0,0,0
816,TGKA,Tigaraksa Satria Tbk.,0,0,0,6475,0,0,0,0,5320.9,6825,400,6725,100,918492750,918492750,67049971,0,0,0,0,0
817,TGRA,Terregra Asia Energy Tbk.,0,50,50,50,0,2300,115000,2,25.0,50,3335000,0,0,2750000000,2750000000,2169475000,0,0,0,0,0
818,TGUK,Platinum Wahab Nusantara Tbk.,0,114,105,106,-6,23800200,2578984800,2356,96.4,106,443600,105,963000,3571429000,1071429000,849642959,1170500,866300,0,0,0
819,TIFA,KDB Tifa Finance Tbk.,0,0,0,525,0,0,0,0,669.9,530,200,500,200,3552213000,3552213000,12787967,0,0,0,0,0
820,TINS,Timah Tbk.,0,670,655,660,-5,2595000,1717222000,613,337.3,660,69600,655,540700,7447753454,7447753454,2603734608,160900,182200,0,0,0
821,TIRA,Tira Austenite Tbk,0,408,408,408,0,7600,3100800,15,183.1,408,9700,406,300,588000000,588000000,79321200,0,0,0,0,0
822,TIRT,Tirta Mahakam Resources Tbk,0,0,0,50,0,0,0,0,22.9,50,2537500,0,0,1011774750,1011774750,219251588,0,0,0,0,0
823,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,0,7725,7425,7600,-125,2369100,17836970000,1961,469.9,7600,171500,7550,100,3113223570,3113223570,888202685,1036800,387200,0,0,0
824,TLDN,Teladan Prima Agro Tbk.,0,458,452,458,2,31400,14355800,39,79.0,458,20500,456,2000,12946530200,12946530200,538575656,0,0,0,0,0
825,TLKM,Telkom Indonesia (Persero) Tbk.,3530,3550,3490,3550,20,48619500,171020558000,7296,1865.6,3550,3083500,3540,10080700,99062216600,99062216600,47361645756,26086900,29243600,17374332,61353256280,7
826,TMAS,Temas Tbk.,0,163,130,153,14,29621200,4569502800,4945,3518.9,154,181900,153,39900,57051500000,57051500000,10309206050,4242200,2324100,0,0,0
827,TMPO,Tempo Intimedia Tbk.,0,91,78,91,2,9900,834700,10,31.6,90,100,86,10000,1058333250,1058333250,238124981,0,0,0,0,0
828,TNCA,Trimuda Nuansa Citra Tbk.,0,202,191,193,2,803300,157921200,170,128.7,193,22800,191,31100,421640000,421640000,151326596,0,0,0,0,0
829,TOBA,TBS Energi Utama Tbk.,0,286,248,264,8,99248800,26161067200,5911,55.7,266,203400,264,797500,8106700622,8106700622,1891293255,52184400,5947700,0,0,0
830,TOOL,Rohartindo Nusantara Luas Tbk.,0,65,63,64,0,3194800,202689700,166,50.4,65,563700,64,1800,2050013243,2050013243,410002334,0,178300,0,0,0
831,TOPS,Totalindo Eka Persada Tbk.,0,0,0,50,0,0,0,0,80.5,50,206068900,0,0,33330000000,33330000000,14105256000,0,0,0,0,0
832,TOTL,Total Bangun Persada Tbk.,0,370,362,366,2,3056100,1117368400,559,131.5,366,264900,364,45800,3410000000,3410000000,1031525000,922800,2275000,0,0,0
833,TOTO,Surya Toto Indonesia Tbk.,0,236,234,236,2,252500,59095600,152,765.6,236,185100,234,24900,10320000000,10320000000,918480000,0,2600,0,0,0
834,TOWR,Sarana Menara Nusantara Tbk.,955,955,935,935,-20,5525000,5213250500,1318,4453.9,940,5300,935,147400,51014625000,51014625000,21405736650,2638300,2573800,6725001,6388750945,3
835,TOYS,Sunindo Adipersada Tbk.,0,50,50,50,0,600,30000,5,14.3,50,8362900,0,0,1435000712,1435000712,567255781,0,0,0,0,0
836,TPIA,Chandra Asri Petrochemical Tbk.,2980,3210,2970,3000,40,80446400,246813182000,15292,3052.8,3000,225400,2990,210100,86511545092,86511545092,12890220219,12317300,9360900,556500,1539149600,9
837,TPMA,Trans Power Marine Tbk.,0,680,655,655,-10,4351000,2884685000,1047,284.8,660,14100,655,123900,2633300000,2633300000,628305380,1252100,307200,0,0,0
838,TRAM,Trada Alam Minera Tbk.,0,0,0,50,0,0,0,0,41.3,0,0,0,0,49643627934,49643627934,25372858237,0,0,0,0,0
839,TRGU,Cerestar Indonesia Tbk.,0,198,194,198,1,443000,87120200,61,94.3,198,129300,197,200,7945412700,7945412700,1500093918,0,0,0,0,0
840,TRIL,Triwira Insanlestari Tbk.,0,0,0,50,0,0,0,0,12.5,0,0,0,0,1200000000,1200000000,336360000,0,0,0,0,0
841,TRIM,Trimegah Sekuritas Indonesia Tbk.,0,260,246,246,-8,6497100,1617706800,150,247.9,250,2587100,246,552000,7109300000,7109300000,3579532550,0,2406300,0,0,0
842,TRIN,Perintis Triniti Properti Tbk.,0,121,117,118,-2,225000,26593700,67,59.0,118,114600,117,69900,4551457304,4551457304,574393893,34600,0,0,0,0
843,TRIO,Trikomsel Oke Tbk.,0,0,0,426,0,0,0,0,189.1,0,0,0,0,26007494645,26007494645,1570852677,0,0,0,0,0
844,TRIS,Trisula International Tbk.,0,242,228,234,4,2023400,477566200,619,78.0,236,37500,232,153700,3141443831,3141443831,501060291,265200,86200,0,0,0
845,TRJA,Transkon Jaya Tbk.,0,264,262,262,0,320900,84262600,61,104.8,264,4292700,262,296500,1510200000,1510200000,506823120,0,23400,21800000,5995000000,1
846,TRON,Teknologi Karya Digital Nusa Tbk.,0,320,296,298,-2,1778900,530297400,244,165.6,302,14900,298,93500,2950390893,2936501893,745469764,512600,65000,0,0,0
847,TRST,Trias Sentosa Tbk.,0,545,545,545,0,20000,10900000,4,325.1,545,11100,500,200,2808000000,2808000000,1176832800,0,0,0,0,0
848,TRUE,Triniti Dinamik Tbk.,0,50,50,50,0,5200,260000,3,50.0,50,10529400,0,0,7570892157,7570892157,1514935520,0,0,0,0,0
849,TRUK,Guna Timur Raya Tbk.,0,84,79,84,0,638200,53028200,91,36.5,84,276800,83,76300,435000000,435000000,139374000,0,0,0,0,0
850,TRUS,Trust Finance Indonesia Tbk,0,430,396,396,0,1900,762000,10,465.9,410,9500,376,100,800000000,800000000,205280000,0,0,0,0,0
851,TSPC,Tempo Scan Pacific Tbk.,0,1850,1770,1770,-80,2872800,5134767000,980,315.8,1780,1000,1770,160500,4509864300,4509864300,624165219,962400,311200,0,0,0
852,TUGU,Asuransi Tugu Pratama Indonesia Tbk.,0,1120,1080,1080,-30,4325200,4735601500,1244,56.1,1085,12500,1080,112300,3555575600,3555575600,722137404,1213100,174400,0,0,0
853,TYRE,King Tire Indonesia Tbk.,0,130,124,124,0,22624800,2879947300,16358,89.9,124,472900,123,737100,3478020500,700000500,700125426,1822100,91500,0,0,0
854,UANG,Pakuan Tbk.,0,575,570,570,5,600,342500,5,456.0,580,500,570,100,1210000000,1210000000,321981000,0,0,0,0,0
855,UCID,Uni-Charm Indonesia Tbk.,0,1155,1130,1135,0,32400,36886000,25,75.7,1150,1000,1135,5000,4156572300,4156572300,818013429,8600,6900,180000,204300000,1
856,UDNG,Agro Bahari Nusantara Tbk.,0,97,88,96,2,46262000,4345203300,6452,96.0,96,1652100,95,590000,1750000000,500000000,0,47900,66500,0,0,0
857,UFOE,Damai Sejahtera Abadi Tbk.,0,200,194,200,5,636400,124879200,118,198.0,200,19600,199,100,2287500000,2287500000,364627500,103900,107500,0,0,0
858,ULTJ,Ultrajaya Milk Industry & Trading Company Tbk.,0,1815,1760,1760,-40,1058800,1872154500,721,3412.4,1770,5800,1760,600,11553528000,11553528000,1574745866,485400,6400,0,0,0
859,UNIC,Unggul Indah Cahaya Tbk.,0,8050,8050,8050,0,200,1610000,1,298.1,8075,100,7575,200,383331363,383331363,133399314,0,0,0,0,0
860,UNIQ,Ulima Nitra Tbk.,0,248,228,242,12,44325800,10578376800,6122,205.1,242,1825600,240,85200,3138983000,3138983000,626541007,883500,1919800,0,0,0
861,UNIT,Nusantara Inti Corpora Tbk,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,53248073,0,0,0,0,0
862,UNSP,Bakrie Sumatera Plantations Tbk.,0,115,112,114,1,1422400,161748900,42,5.4,114,255700,112,4600,2500162344,2500162344,1480596140,29900,0,0,0,0
863,UNTR,United Tractors Tbk.,22900,23175,22900,23100,225,2101800,48542120000,2974,27500.0,23100,17100,23075,19000,3730135136,3730135136,1410364095,415700,1442300,6095,140489750,3
864,UNVR,Unilever Indonesia Tbk.,3590,3600,3550,3590,-10,4501100,16138118000,1880,91909.9,3600,350200,3590,9300,38150000000,38150000000,5516490000,2111400,2830800,86,307880,1
865,URBN,Urban Jakarta Propertindo Tbk.,0,145,130,138,4,175000,23181400,136,11.5,138,4300,133,6900,3232122640,3232122640,421792005,16100,0,0,0,0
866,UVCR,Trimegah Karya Pratama Tbk.,0,121,116,118,-1,1989100,234775700,109,118.0,118,13300,117,8700,2000144838,2000144838,0,0,0,0,0,0
867,VAST,Vastland Indonesia Tbk.,0,65,63,64,0,432100,27351200,81,59.3,64,257800,63,25200,3055705785,3055705785,628558260,0,0,0,0,0
868,VICI,Victoria Care Indonesia Tbk.,0,660,650,660,0,144500,94124000,25,660.0,660,37500,655,10000,6708000000,6708000000,1006870800,22000,0,0,0,0
869,VICO,Victoria Investama Tbk.,0,132,128,131,0,421200,54613900,201,111.4,131,30400,129,700,15217075658,15217075658,2150172790,0,30600,0,0,0
870,VINS,Victoria Insurance Tbk.,0,182,135,135,-36,1357400,199914700,673,128.6,140,479200,135,118600,1460573616,1460573616,395085163,127800,88400,0,0,0
871,VIVA,Visi Media Asia Tbk.,0,50,50,50,0,1000,50000,1,16.7,50,58398400,0,0,16464270400,16464270400,7054939866,0,0,0,0,0
872,VKTR,VKTR Teknologi Mobilitas Tbk.,0,118,115,117,-1,51211500,5973629700,1362,117.0,117,522900,116,1210600,43750000000,34103000000,10535000000,428200,656800,0,0,0
873,VOKS,Voksel Electric Tbk.,0,197,193,194,0,123500,24024800,15,85.8,194,12300,193,53700,4155602595,4155602595,1139050671,0,100,0,0,0
874,VRNA,Mizuho Leasing Indonesia Tbk.,0,90,85,86,-1,359300,31583300,38,86.8,88,3000,86,9700,5687353997,5687353997,426551550,400,0,0,0,0
875,VTNY,Venteny Fortuna International Tbk.,0,222,216,218,-2,14284000,3109790800,467,60.6,218,14000,216,14200,6265193445,4875160740,1304413275,16900,153400,0,0,0
876,WAPO,Wahana Pronatural Tbk.,0,120,116,116,-1,1396700,164569000,320,66.3,118,13500,116,209300,1240923111,1240923111,280820900,6100,0,0,0,0
877,WEGE,Wijaya Karya Bangunan Gedung Tbk.,0,92,90,91,1,1688300,153558400,139,31.4,92,196400,91,28400,9572000000,9572000000,2871600000,160800,0,0,0,0
878,WEHA,WEHA Transportasi Indonesia Tbk.,0,164,159,160,0,1747000,281873100,248,74.4,160,15200,159,451400,1460554819,1460554819,431740004,0,0,0,0,0
879,WGSH,Wira Global Solusi Tbk.,0,100,90,96,0,431200,40623000,77,68.6,96,39800,95,600,1042500000,1042500000,0,0,0,0,0,0
880,WICO,Wicaksana Overseas International Tbk.,0,164,164,164,0,14800,2427200,14,13.6,164,7000,155,1000,2393710348,2393710348,107238224,1500,0,0,0,0
881,WIDI,Widiant Jaya Krenindo Tbk.,0,40,36,37,-2,11857000,433583800,531,37.0,37,7900,36,4202700,1600000000,600000000,0,52800,27500,0,0,0
882,WIFI,Solusi Sinergi Digital Tbk.,0,157,149,156,0,126105900,19483249300,12235,29.4,156,1013700,155,10100,2255321388,2255321388,1118639408,5406100,1325800,0,0,0
883,WIIM,Wismilak Inti Makmur Tbk.,0,3470,3300,3320,-110,3899600,13118714000,1734,510.8,3340,200,3320,186000,2099873760,2099873760,665240007,480400,828600,0,0,0
884,WIKA,Wijaya Karya (Persero) Tbk.,0,400,388,390,-4,3070000,1198922400,535,100.2,392,262600,390,6500,8969951372,8969951372,3133204014,617300,4200,0,0,0
885,WINE,Hatten Bali Tbk.,0,530,496,500,4,10198900,5213468500,1145,387.6,510,188500,500,92900,2710000000,678000000,486987000,895700,952000,0,0,0
886,WINR,Winner Nusantara Jaya Tbk.,0,50,50,50,0,100,5000,1,50.0,50,44829000,0,0,5235259308,5235259308,1494665455,0,0,0,0,0
887,WINS,Wintermar Offshore Marine Tbk.,0,428,404,408,-12,8943500,3658316600,953,110.3,408,11700,406,31700,4359412057,4359412057,1959991661,653500,1194700,0,0,0
888,WIRG,WIR ASIA Tbk.,0,110,108,109,1,24605200,2677888000,631,64.9,109,111500,108,4315800,11938622394,11938622394,6721727020,296300,2946000,0,0,0
889,WMPP,Widodo Makmur Perkasa Tbk.,0,50,50,50,0,96200,4810000,13,31.3,50,82301400,0,0,29419000000,29385630250,8919840800,0,9600,39800,875600,1
890,WMUU,Widodo Makmur Unggas Tbk.,0,50,50,50,0,6100,305000,5,27.8,50,91102700,0,0,12941176500,12941176500,3931529421,0,0,100000,3000000,1
891,WOMF,Wahana Ottomitra Multiartha Tbk.,0,352,350,350,-2,170900,59826400,42,53.1,352,129300,348,115600,3481481480,3481481480,261111111,0,0,0,0,0
892,WOOD,Integra Indocabinet Tbk.,0,308,298,300,-8,3892400,1171325200,424,115.4,302,47300,300,137400,6437500000,6437500000,1863656250,458500,1000000,0,0,0
893,WOWS,Ginting Jaya Energi Tbk.,0,50,50,50,0,500,25000,3,11.1,50,26966600,0,0,2475720000,2475720000,1370063448,0,0,0,0,0
894,WSBP,Waskita Beton Precast Tbk.,0,50,50,50,0,10700,535000,7,10.2,50,388674200,0,0,54555721325,54555721325,31053116578,0,0,150000,3000000,1
895,WSKT,Waskita Karya (Persero) Tbk.,0,0,0,202,0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,7100877929,0,0,0,0,0
896,WTON,Wijaya Karya Beton Tbk.,0,137,134,135,-1,2774100,374187600,398,22.9,136,12400,135,354600,8715466600,8715466600,3399903521,0,1523200,0,0,0
897,YELO,Yelooo Integra Datanet Tbk.,0,50,50,50,0,63000,3150000,6,32.5,50,6835900,0,0,1912774405,1912774405,1712124370,0,0,0,0,0
898,YPAS,Yanaprima Hastapersada Tbk,0,468,440,440,-20,1200,550000,7,80.7,470,100,444,100,668000089,668000089,68002409,0,0,0,0,0
899,YULE,Yulie Sekuritas Indonesia Tbk.,0,2100,2100,2100,-30,1000,2100000,3,996.3,2640,500,2100,200,1785000000,1785000000,1240396500,0,0,740700,1562877000,6
900,ZATA,Bersama Zatta Jaya Tbk.,0,50,50,50,0,6600,330000,4,50.0,50,26352200,0,0,8496000000,1700000000,2300716800,0,0,0,0,0
901,ZBRA,Dosni Roha Indonesia Tbk.,0,462,458,462,0,71300,32934200,22,326.1,462,310700,460,100,2510706263,2510706263,539550776,1000,65000,0,0,0
902,ZINC,Kapuas Prima Coal Tbk.,0,50,50,50,0,16700,835000,10,178.2,50,59658600,0,0,25250000000,25250000000,8733975000,0,0,0,0,0
903,ZONE,Mega Perintis Tbk.,0,1140,1125,1125,-10,144200,163381500,36,377.5,1125,1200,1120,500,870171478,870171478,153672283,0,0,0,0,0
904,ZYRX,Zyrexindo Mandiri Buana Tbk.,0,190,177,181,2,748000,136225100,586,72.4,183,3600,180,53500,1333334556,1333334556,333333639,0,71600,0,0,0
